Text,Predicted,Target
"Seller Issue I have worn Danskos for 13 years and for all of that time I've been a size 38. When these shoes came I was so excited, they are so cute, but they are about 4/5 the width of my foot. I could barely get them on, but I really wanted them so I tried walking up and down my hall. The top of the boot pressed down on the top of my shoe and I have no arches (I have flat feet). My husband suggested they would stretch out, but after 5 minutes my feet were throbbing and I had to take them off fast. Throbbing feet from 5 minutes is not what I know Danskos to be. My experience of a Dansko is that I put them on, even brand new, and my feet rejoice. These shoes are impostors. Beautiful, but fake. I hope this is a fluke and not a Dansko trend of giving up comfort for style.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue Runs very small and the fabric was a really cheap, shiny, fake satin looking material. I donated to the local thrift store and was really unhappy for the waste of money.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue I was considering this watch as a purchase. There are a ton of reviews that say this watch is to die for and how great it looks in person but a few reviewers had a very different opinion on the quality of the watch once received. I always look for the negative reviews (Why) well... because I kind of get weiry when everyone says it's a must have, I'm difficult like that at times I guess but anyway 1 particular reviewer caught my attention (Mr. Fritz) thank you. When he stated the differences between a real one & a fake one and I hate fake ones at any cost but he did show a flaw in the design of this particular model here and I did some of my own research and found out that he was 100% correct. This Michael Kors watch is a knock off (Fake) or what we say in Brooklyn a Fugayzie... I would love to buy the real one on Amazon but feeling kind of leiry after this close call. I think I'll shoot for the real watch $100 more at a reputable retail store... Reviews are great... Saved me from disappointment 2day...",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue There are remarkable differences between the real Michael Kors 8107 and the fake! The date shows white lettering on a black background! The real MK8107 has black letters on a white background. The seconds hand has somewhat of a point to it, like an arrow, but the fake does not... Just wanted to educate people who are buying this watch and don't know the differences! Shell out the extra 100 dollars and get the real one! If you chose not to believe me look on Michael Kors website at the same watch you will see a difference!",Product Authenticity Issue,Product Authenticity Issue
Seller Issue This was a total nightmare!! I will NEVER buy something like this again on line. Not only was it defective when I carefully looked at it but I believe it was a fake. Took numerous e-mails back and forth to finally get it sent back and thank goodness Amazon stood behind it's return policy and completely refunded my money and even paid for the postage for me to send it back. All I can say is buyer beware! I have regained confidence to buy from Amazon on line but I'll be more cautious from now on for sure.,Product Authenticity Issue,Product Authenticity Issue
Seller Issue Buyers beware! I'm a long time wearer of Frye boots and what I received were fake! 1) the smell was awful 2) no Frye trademark on the bottom of the shoe 3) no label stitched in on the inside of the shoe 4) stitching on sole not consistent and flawed in some places. All signs indicate these boots are not real. How can Amazon allow this to happen? Now I have to drive 30 minutes to return these. I have to go out of my way to get my money back!! Frustrating!,Product Authenticity Issue,Product Authenticity Issue
Seller Issue They did not look like FRYE boots. Very cheap looking. Everyone I showed them to said they were fake. The return went well.,Product Authenticity Issue,Product Authenticity Issue
Seller Issue Its a fake. Period.,Product Authenticity Issue,Product Authenticity Issue
Seller Issue i recieved the watch and it doesn't work at all seems that the company named skagen is a fake company,Product Authenticity Issue,Product Authenticity Issue
"Seller Issue Initially when I got this watch, I was in LOVE with it. I got so many complements on it. because it has a really nice look. But after only 1 week, it started to fall apart... the time on it falls behind as the day goes on and the leather is fake and already faded away after 4 days!! I just couldn't believe this... I was so upset that I had to return it... :(",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue i actually have a brown pair that i ordered from sunglass hut, same exact pair of sunglasses but different and these are definitely fake. i compared them to a real pair & there is no doubt that these are not real raybans. they sound like a pair from cvs or walmart when opening",Product Authenticity Issue,Product Authenticity Issue
Seller Issue So I got stuck with a broken chain thank you god bless is fake silver it gets attracted to magnet,Product Authenticity Issue,Product Authenticity Issue
Seller Issue Don't buy anything from Luxottica. I bought this pair and a Armani. They both stated to peel at the same time after 11 months of almost no usage. Contacted Luxottica and told me that most likely they were fake. Both bought at around the same time in different big mall stores.,Product Authenticity Issue,Product Authenticity Issue
Seller Issue Not sure if these boots are REAL EMU's. The insole does not come out like they do in real UGGS and I thought real EMU's were made in Australia but there was a Made IN CHINA label stitched in the inside of the boot. I need them for a ski trip so won't send them back yet. I'll see how they hold out for the next few weeks but I am pretty sure these are counterfeit or EMU is of lesser quality than I expected and I will go back to MADE IN AUSTRALIA UGGs. I would/will order straight from the manufactures website next time for both UGGS and EMU's There's just too many fakes out there!,Product Authenticity Issue,Product Authenticity Issue
"Seller Issue I bought these Emu's after a lot of research. Was very excited to receive them but very disappointed when I realized what I was sent looked like fake Emu's. They didn't match the photos online at all.1) The heel product label should be brown leather with special stitching. This was not the case with mine. It looked like a rubber emblem.2) The stitching was uneven at the top of the boot. This should never happen with any top-quality boot.3) According to the emuaustralia.com website, the insole should be removeable for the Stinger low boot. It should also have a molded heel. Mine did not.4) There was no Emu fold-over label at the very top of the boot, which is typical of this brand.So, sadly, my boots appear to be fake & I've notified Emu Australia directly that these were sold to me by this particular company (Fusion Apparel).Beware when purchasing.",Product Authenticity Issue,Product Authenticity Issue
Seller Issue These are 100% fake. I took them into several stores that sell authentic Timberland boots and every store told me they were fake within seconds of looking at them.,Product Authenticity Issue,Product Authenticity Issue
Seller Issue Totally fake. Returned immediately!!!DO NOT BUY!!!!!!!,Product Authenticity Issue,Product Authenticity Issue
"Seller Issue fake shoes, DON'T buy them... and not only that but i received them with marks all over the shoes, like they have been worn",Product Authenticity Issue,Product Authenticity Issue
Seller Issue The shoes I bought were fake. One of the timberland emblems were upside down.,Product Authenticity Issue,Product Authenticity Issue
Seller Issue Very poor quality may be fake now in the process of returning them,Product Authenticity Issue,Product Authenticity Issue
Seller Issue They just didn't work for me. Too big and fake looking.,Product Authenticity Issue,Product Authenticity Issue
"Seller Issue One of the posts came bent. It was easy enough to straighten with a pair of pliers, but there's no reason it should have been bent with the way it was packaged.The posts are also way too long. They touch my neck, and if anything touches my earlobe, they stab into me.And the jewelry looks gaudy. If you have small earlobes like me, they dwarf them. The stones look like fake, cloudy plastic in any sort of light. I've had another pair of cz earrings that sparkled and were clear, so I'm certain this is not how all fake diamonds look.I'm chalking it up to wasting money on the hit and miss of ordering online, but I'm very disappointed that these were as terrible as they are with how good the reviews were. I'd planned to order two more sets from this same brand, but am now skeptical that all their product is as low-quality as this pair turned out to be.EDIT: I'm bumping the review down to one star. I wore these for a bit and really tried to like them, but it turns out I'm allergic to whatever metal this is. I'm not allergic to silver. These have reopened my 8 month old piercings, and it's extremely painful and disappointing to have to wait until they heal up to be able to branch out again with other earrings. Don't buy these.",Product Authenticity Issue,Product Authenticity Issue
Seller Issue The ring is very fake and cheap looking. Looks like it came from a claw machine. The band is very very thin and the stone looks and feels like its just a green dot of glitter glue and not even in the shape of a heart. I was very disappointed in the item.,Product Authenticity Issue,Product Authenticity Issue
"Seller Issue I wore these for less than an hour before I had to change shoes.1. The straps didn't stay put...looks like a buckle but the fake buckle just sits in a holder that constantly comes loose. I had to cut the straps so I didn't trip on them during the wedding pics.2. I felt everything through the extremely thin bottom.3. I got 4 blisters on one foot, 2 on the other...for wearing less than an hour!Horrible shoes!",Product Authenticity Issue,Product Authenticity Issue
Seller Issue Maybe I'm an inexperienced fake mustache connoisseur but it didn't have any adhesive to fix the mustache to your lip,Product Authenticity Issue,Product Authenticity Issue
"Product Issue These vests look great online and ok in person. If you're only going to use them once, they're OK I guess and will help you fake it temporarily. Be aware, they are supposedly 100% polyester as the ad specifies the tie and vests are made of the same material. I'm not sure if that's correct, perhaps the back of the vest is polyester. The front feels like plastic and wearing these vests feels like wearing a tarp. It's not even what I would consider real cloth. It has the consistency of those one-time-use plastic table covers and is as thin as paper.The ties are ok. They're not silk, they are 100% polyester, but that's ok. The styles are very fashionable and they look good.Overall it's just not for me, the quality of the vest is too poor to keep, and I'm going to try to return it. Will update if I run into trouble.",Quality Issue,Quality Issue
Seller Issue Club is not as it is shown in the picture. The actual one has fake spikes.,Product Authenticity Issue,Product Authenticity Issue
"Seller Issue This backpack is a fake. The material is not as nice as it seems. It crinkles when you move with it, not to mention that is was dirty when I received it. The straps are unable to be made longer and it is very small. It has frayed strings from the stitching. I can barely fit anything inside of it either. The pockets on the side have barely any space in them and laptop pocket is tiny. I DO NOT RECOMMEND YOU BUT THIS PRODUCT.",Product Authenticity Issue,Product Authenticity Issue
Seller Issue I received a fake. Disappointed. Will be returning. Save your money and just buy one directly from the Fjallraven website!,Product Authenticity Issue,Product Authenticity Issue
Seller Issue This backpack that I ball it's not real it's a fake because the button start falling off the first time I use it. So I decided to take it to an actual store and they told me it's 100% fake. I would never buy from this buyer again I have I would have just spent the extra $30 to buy the real thing. So I actually did buy the real thing in comparison the fabric is a lot thinner and is not waterproof like the real thing. You can see in the the video.,Product Authenticity Issue,Product Authenticity Issue
Seller Issue Unfortunately I assumed that the lower price was because the color may be less popular but it appears to be a fake bag. The fabric is thin and crackles. Its not the softer durable quality fabric like the bags that I have seen in person at the Fjallraven stores. Also the stitching is rough and the colors don't match. Very disappointing.,Product Authenticity Issue,Product Authenticity Issue
Seller Issue This is a fake and I am returning. Watch the videos for clues. All of the clues were there for the one I was sent. And the size was quite small. Dont be fooled by Amazon Recommended. A real one will cost you $80...not $40.,Product Authenticity Issue,Product Authenticity Issue
"Seller Issue A high quality fake. A couple of things i forgot to mention in the video : the fake one had a very strong plastic smell, the real one has no smell. Also I forgot to specify that the snap buttons are usuamly a way to identify a fake, but on this one they were identical to the real thing.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue I went to Nordstom over the weekend and saw this brand being sold. When i touched the bag, mine wa way too thinaterial compared to the one sold at Nordstom. I got faked",Product Authenticity Issue,Product Authenticity Issue
Seller Issue This bag is a fake. Check YouTube for videos for authenticity . I gave it one star so I could post this review,Product Authenticity Issue,Product Authenticity Issue
Seller Issue awful! its fake!,Product Authenticity Issue,Product Authenticity Issue
"Seller Issue It is a fake one, do not buy it!",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue This bag is so small that it's almost useless. It's literally the width of two Camelbak Eddy water bottles. I know this, because I bought two of those water bottles and this bag at the same time. So if you plan on carrying anything larger than what could fit in a cheap lunch bag, do NOT buy this backpack. For practical purposes, I can bet that only one thick college textbook and a notepad could fit in this thing at one time. The size renders it so absolutely useless that you might as well just carry whatever you were going to put in it in your hands. Not to mention that if you're six foot tall or taller, this bag is gonna look hilarious on you-- like you lifted a backpack from a kindergarten cubby or something. I also verified this isn't one of the fakes people are talking about in the review section. This will be an immediate return.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue Looks like fake backpacks are still a problem, mine arrived with a misspelled name and plain buttons. Material is also really really shiny.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue Well when compared with this type of bag sold in Macy's, it seems so different in material. This one is not that soft and feels cheap. I can't say this one is fake but it really frustrated me. I would not recommend it.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue These fit, but are definitely fake. The tags, box, and labeling are all similar to the keds logo, but obviously are a knockoff once recieved. The pictured pair is not the same",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue I bought these for my wife. She wears size 8.5. She also has a pair that we bought from a retail store. The ones we bought from Amazon, were really uncomfortable on her. I told her to break em in. It's probably because they're new. Meanwhile... It's been several months, and still not fitting right! I said, let's check the tags, maybe one is narrow, and one is wide? Checked the tags. Tags were different.. One was imprinted on the canvas, the other, an iron on sticker. After that I did some digging. There were several variances in the two shoes. I have reason to believe that these shoes are fakes. My wife's owned several pairs of these EXACT shoes over the years, and they've never had this issue. Buyer beware. I would buy from a brick and mortar store for something like this in the future.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue I've ordered Ked's Champions in the past was very happy with the quality. The ones I recently received from this vendor are like the cheap rips-offs I could buy in ChinaMart for $5. No support, thin canvas - just junk. I'm taking pictures of them and sending them to Keds to ask if this is really their shoe. I think they are fakes.UPDATE - I did contact Keds and they admit they are not making these shoes like they used to. No support, no padding, more narrow, thinner canvas. I've bought Keds for almost 35 years so I know the difference. Save your money. You can get this same sneaker in any cheap shoe store for between $5-$8, it just won't have a Keds tag. This is no longer the bargain it once was. Another really good American product turned into the lowest common denominator. What's really sad is most of the people buying this shoe don't even know it's junk compared to what Keds sold just a few years ago.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue Dear All,The first time, I've return this shoes since they're too large for me (my mistake by ordering a 9.5 M US instead of 8.5 M US).Now, that I've received the new ones let me just ask you something: for the last 30 years that I've been Sebago loyal costumer I never saw, buy or received a pair of Sebago with so lack of quality!Inside the sole is not in proper Sebago's leather (dark brown). Instead it's kind of white cheap/fake leather all crocked!On the outside - the front is not well finished (with some issues in the white stitching).Are these original Sebago or contrafeit? The quality control was not applicable to this one, for sure!!Regards,Miguel Silva",Product Authenticity Issue,Product Authenticity Issue
Seller Issue The ring was really gaudy and fake looking. My daughter summed it up this way that ring looks like it belongs to a movie-star--nobody is ever going to believe it is real. It was sparkly and had good weight to it--too bad it looked so fake. The return was no-problem--kudos to the seller for that.,Product Authenticity Issue,Product Authenticity Issue
"Seller Issue The ring was really beautiful when I got it. It wasn't fake looking at all. Very nice look. I had the ring about a month and went to a Woman's retreat went to the bathroom and when I went back to the table and looked at my hand the center stone had fallen out. I just didn't feel like it was worth my time to send it back and go through a lot of hassle about it. I don't feel like there's a problem with the jewelry itself, I think maybe I just got a defective one. I would order again.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue plastic and fake looking, way pointier than i expected.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue I bought it on May 10, 2014 and the white stamp located in the upper right corner of the front lens vanished. That's the probe of how fake they are. All this time I thought they were original and now it's all a scam.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue Got these as a gift. They are very good fakes. They are too light weight and flimsy to be real however, sitting next to my real ones you cannot tell. I thought they would be real after reading the reviews but upon recieving them I noticed they were made in China (real RB are made in Italy) on the inside of the frame. Oh well, these are a good backup to my real ones! Just be careful eye glass places that carry RB won't fix anything on the (tilt, frame, etc) because they are fakes. Also, fakes should NEVER be 80$.",Product Authenticity Issue,Product Authenticity Issue
Seller Issue They look and feel fake...,Product Authenticity Issue,Product Authenticity Issue
Seller Issue I bought this same toms 4 yrs ago and I bought the same one recently. I am disappointed bec. Its different from the first one that I have. Its fake. I cannot return it anymore coz I don't have the receipt anymore. I will not buy this again here.,Product Authenticity Issue,Product Authenticity Issue
"Seller Issue Unfortunately, this product was fake.Its a good dupe but at the end of the day its not worth saving 10 bucks and buying knockoffs.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue After reading some of the other reviews, I am positive the pair I received is fake. The first thing I noticed was that these do not fit. I am 8.5 in TOMS and have multiple pairs that I wear daily. These are at least a size smaller, I could barely squeeze my foot into them. I thought maybe it was just because they were new and I needed to wear them in and stretch the fabric out a little bit... nope! Another thing I should have caught was that the color is way off. I bought the Ash color to replace my current pair and it is a lot darker. Wish I had read some reviews and not ordered these. I was busy and thought I had more time to return these, but waited too long. Now I'm stuck with a pair of fake shoes that don't fit me. Do your research and don't waste your money on these. Even if they do fit you and look real to your friends, the quality isn't the same and in the long run you're not saving any money.",Product Authenticity Issue,Product Authenticity Issue
Seller Issue Think these maybe fake too small. Also no option for me to return. This was not stated anywhere in the description that these were not returnable.,Product Authenticity Issue,Product Authenticity Issue
"Seller Issue I read the reviews and they were really mixed. Some say they are fake Tom's and poor quality while others rave about them. They were a good price so I decided to give them a shot as I needed all black shoes for work. Also, I have one other pair of Tom's and they are comfortable so I figured why not. These were a mistake. I'm a size 7 1/2 in EVERY SINGLE SHOE I OWN. These did not even fit me. I couldn't get them on at all. My other Tom's are the same size and no issues. This leads me to believe that possibly they are fake because usually fake shoes are made in other countries and those sizes run small especially in China. Not ever cool for Amazon to allow a seller to sell fake shoes. Maybe the seller is unaware or was falsely sold these shoes as the real deal. But I do have to agree that something is off on these shoes.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue I'm pretty sure these shoes are fakes. I have 4 pairs of Toms, all of which fit perfectly and are super comfy. These shoes are so small I can't even get them on. He logo is also crooked. I'm trying to get a refund. This is a scam.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue These are not real Toms. I own real toms and these are not authentic. I wish I read other reviews of these being fake before buying. Amazon is not an authorized distributer of Toms and the one for one doesn't exist with these shoes. Very sad that they would still advertise as touch. I kept the shoes but will not be buying again. Real toms are worth the money, not these FAKES!",Product Authenticity Issue,Product Authenticity Issue
Seller Issue They only post a few negative so you won't keep away from buying...they wouldn't post my other comment About these fake smaller than regular size toms,Product Authenticity Issue,Product Authenticity Issue
"Seller Issue FAKE. I was so excited to get these for my sister since she LOVES TOMs, but when she opened them she questioned them right away and asked where I got them. When I told her Amazon right away she inspected them and turns out they were fake. I was so humiliated and felt bad for my sister. I returned them though and expecting my money back next week.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue I usually do not write negative reviews since I'm a long-time happy Amazon customer. I ordered a size 8 pair of black Toms sold by DirectExpress and fulfilled by Amazon. I am not sure whether the pair I received are fake Toms or if they're defective, but these were far TOO narrow, extremely stiff even though they're supposed to be made of canvas material, and way too small lengthwise. I couldn't even get my foot into the shoe halfway, and neither could my sister or my mom, who both have smaller feet (they're size 6 and 7). The reason I ordered a pair of Toms from Amazon is because I already own a black pair in size 8 that I bought in-store which I find ridiculously comfortable and they're my favorite pair of shoes (keeping in mind I do have wider feet and don't have the easiest time finding the right shoes), but they were falling apart so I wanted to order a replacement. Bad idea...I have to return these. I'm not really sure what went wrong but I'm disappointed and now I need to go through the process of returning them AND making the trip to the store to buy an authentic pair and pay more for it---but I would gladly pay more for authentic quality at this point.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue These shoes were obvious fakes made in china, yes toms are made in china but these are not 100% legit. easy way to tell on the pair i recvived is the 2nd O in the insole is not capitalized like the legit pair.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue After returning these for a smaller size, I truly believe these were fakes. The color was off, there was a weird stripe in the glitter on one shoe, the other shoe had a tar like substance stuck to the inside, and the box wasn't right. Buyer beware of the shipper, Quality Online Sales. The real ones I got were from Shoeamerica.That said, I still don't know which size is right for me, I normally wear a 7, but the real 7's are too small. The fake 7.5's were WAY too big, but now I'm thinking it could have been because they were fakes. My sparkley tom's quest continues....",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue I purchased these about a year ago. I cracked one of the lenses by dropping something on it, totally my fault. I went to the Luxottica website and followed the process to send them in and get them fixed. It's supposed to be $15 if it's not covered under warranty. Luxottica sent the sunglasses back to me, lens still cracked, stating the glasses have no identifying serial numbers that match any Luxottica sunglasses makes/models and as such they would not repair them.They seem to be pretty decent quality glasses and are nice looking, but they are without any question fakes.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue These appear to be faux Ecco shoes. Ive had several pairs of this particular style. These are so uncomfortable that they are going back. I took these to the Ecco store here in Orlando to compare, which convinced me that they were fake. Though a very realistic looking fake.",Product Authenticity Issue,Product Authenticity Issue
Seller Issue I am absolutely sure it is fake.,Product Authenticity Issue,Product Authenticity Issue
Seller Issue Leather is fake,Product Authenticity Issue,Product Authenticity Issue
Seller Issue This is not genuine leather and the buckle is really fake feeling. Had an original leather belt similar to this for many years from the Caribbean and this feels and looks nothing like it.,Product Authenticity Issue,Product Authenticity Issue
"Seller Issue Received two pairs of jeans that were 1/2 the weight of real jeans made in Vietnam. Obvious fakes, fake rivets, zipper, tags etc.",Product Authenticity Issue,Product Authenticity Issue
